Timestamp,Which Prototype are you evaluating?,What was your time to complete task 1 (in seconds)?,What was your time to complete task 2 (in seconds)?,What was your time to complete task 3 (in seconds)?,Which of the following words would describe your experience with this prototype?,"Overall, I thought this design was effective.","Overall, I thought this design was useful.","Overall, I thought this design was fun."
4/16/2021 10:29:03,Prototype A (Boxes),5,10,10,Fine,5,5,3
4/16/2021 10:29:20,Prototype A (Boxes),8,8,8,Boring,6,6,5
4/16/2021 10:29:22,Prototype A (Boxes),7,220,10,Boring,4,5,2
4/16/2021 10:29:49,Prototype B (Circles),3,10,225,"Frustrating, Confusing",1,1,1
4/16/2021 10:29:59,Prototype A (Boxes),7,240,12,"Frustrating, Fine",5,5,4
4/16/2021 10:30:14,Prototype A (Boxes),23,240,13,"Fine, Confusing",3,6,4
4/16/2021 10:30:19,Prototype A (Boxes),7.76,600,8.16,Fine,6,6,4
4/16/2021 10:30:22,Prototype A (Boxes),4,127,7,odd,4,5,2
4/16/2021 10:31:06,Prototype B (Circles),6,8,9,Frustrating,1,1,1
4/16/2021 10:31:34,Prototype B (Circles),10,128,7,"Fun, Frustrating, Confusing, Tiring",2,2,7
4/16/2021 10:31:56,Prototype A (Boxes),82,212,205,"Frustrating, Confusing, Tiring",4,4,2
4/16/2021 10:32:13,Prototype A (Boxes),4,6,127,Fine,6,6,4
4/16/2021 10:32:38,Prototype B (Circles),25,120,3,"Frustrating, Confusing",1,3,1
4/16/2021 10:32:47,Prototype B (Circles),5,66,6,Fine,5,4,4
4/16/2021 10:32:59,Prototype B (Circles),10,126,18,"Fun, Hard to read the labels when the words are curved",3,5,6
4/16/2021 10:33:31,Prototype B (Circles),18,43,128,"Frustrating, Fine",3,3,4
4/16/2021 10:34:02,Prototype A (Boxes),10,600,18,"Boring, Frustrating, Confusing",3,6,1
4/16/2021 10:34:22,Prototype A (Boxes),6.6,600,8.22,"Fine, Great, Confusing",4,4,3
4/16/2021 10:34:28,Prototype B (Circles),7,70,12,Boring,4,4,4
4/16/2021 10:35:15,Prototype A (Boxes),7,171,7,Confusing,6,6,4
4/16/2021 10:35:21,Prototype A (Boxes),30,100,54,Fine,4,4,1
4/16/2021 10:36:34,Prototype B (Circles),9.41,271.92,11.38,"Frustrating, Confusing, Tiring",1,2,3
4/16/2021 10:37:22,Prototype B (Circles),4,143,5,"Confusing, Tiring, Cluttered",4,4,2
4/16/2021 10:37:32,Prototype A (Boxes),11.97,231.53,7.67,"Frustrating, Fine",6,5,3
4/16/2021 10:38:02,Prototype B (Circles),9,600,13,"Fun, Frustrating",2,2,5
4/16/2021 10:39:00,Prototype B (Circles),7.7,9.6,8.86,"Fun, Exciting, Great, Inspiring, Confusing, Tiring",2,3,6
4/16/2021 10:39:32,Prototype B (Circles),9.67,192.34,7.33,"Frustrating, Difficult",2,2,2
4/16/2021 10:40:24,Prototype A (Boxes),7.66,142.28,8.2,Fine,5,6,4
4/16/2021 10:43:25,Prototype B (Circles),24,129,116,"Fine, I somehow completed task 3 before task 2 on accident",3,5,3
4/16/2021 10:45:38,Prototype A (Boxes),7,126,9,Fine,6,5,4
4/16/2021 12:41:02,Prototype A (Boxes),43,135,23,Boring,4,5,2
4/16/2021 13:20:37,Prototype A (Boxes),5,66,67,Fine,3,4,2
4/16/2021 13:20:40,Prototype B (Circles),4.8,67,7,Fine,3,4,2
4/16/2021 13:44:10,Prototype B (Circles),7,70,8,Fine,5,5,4
4/16/2021 13:46:01,Prototype A (Boxes),4,65,5,"Fine, Great, Excellent",6,7,4
4/16/2021 13:54:05,Prototype B (Circles),6.3,210,13,"Boring, Frustrating, Confusing",3,5,2
4/16/2021 13:54:51,Prototype B (Circles),6,15,10,"Boring, Fine, Tiring",3,5,2
4/16/2021 13:56:03,Prototype A (Boxes),5,10,8,"Boring, Fine, Great, Excellent",5,4,2
4/16/2021 13:56:04,Prototype A (Boxes),10,140,19,"Frustrating, Fine, Confusing",5,5,2
4/16/2021 13:56:59,Prototype A (Boxes),3.5,133,7,"Boring, Fine",6,6,2
4/16/2021 13:58:18,Prototype B (Circles),11,67,9,"Boring, Frustrating, Fine, Confusing",2,2,2
4/16/2021 14:05:48,Prototype A (Boxes),5,130,6,"Boring, Fine, Confusing",3,4,1
4/16/2021 14:06:53,Prototype A (Boxes),6,130,5,"Frustrating, Confusing",5,5,1
4/16/2021 14:07:55,Prototype A (Boxes),2.94,193.69,8.74,"Frustrating, Fine, Confusing",2,5,3
4/16/2021 14:07:58,Prototype B (Circles),15,186,8,Confusing,2,1,3
4/16/2021 14:08:03,Prototype B (Circles),5,126,4,"Fun, Confusing",2,4,6
4/16/2021 14:08:10,Prototype B (Circles),10,227,12,"Frustrating, Fine, Illegible",3,5,3
4/16/2021 14:08:36,Prototype A (Boxes),6.6,200,15,"Boring, Frustrating, Confusing",2,2,3
4/16/2021 14:10:16,Prototype A (Boxes),6,192,15,"Fine, Great, Functional",7,5,4
4/16/2021 14:10:19,Prototype B (Circles),10,194.91,7,"Frustrating, Confusing, Tiring",1,3,4
4/16/2021 14:11:37,Prototype B (Circles),8.4,150,3,"Fine, Confusing",3,3,3
4/16/2021 14:12:02,Prototype A (Boxes),12,33,20,"Fine, Confusing",5,5,4
4/16/2021 14:12:05,Prototype A (Boxes),12.78,100000,20.85,"Boring, Fine, Revolutionary",5,4,1
4/16/2021 14:12:32,Prototype A (Boxes),5.5,26.7,10,"Boring, Frustrating, Tiring",1,1,1
4/16/2021 14:13:53,Prototype B (Circles),8.2,150,7.3,"Frustrating, Inspiring, Tiring, Excellent",4,4,4
4/16/2021 14:13:55,Prototype A (Boxes),6.15,76,10,"Fine, Standard",5,6,2
4/16/2021 14:14:01,Prototype A (Boxes),18,130,8,"Frustrating, Fine, Confusing",6,5,4
4/16/2021 14:14:27,Prototype A (Boxes),9,130,15,Fine,7,7,4
4/16/2021 14:14:34,Prototype B (Circles),7,68,8,"Fun, Confusing",5,5,6
4/16/2021 14:15:28,Prototype B (Circles),10,195,7.62,"Boring, Frustrating, Confusing, Tiring",1,1,1
4/16/2021 14:16:06,Prototype B (Circles),5,126,7,Confusing,3,3,4
4/16/2021 14:19:22,Prototype B (Circles),4.37,76,5.25,"Fun, Confusing",3,3,6
4/16/2021 14:46:43,Prototype A (Boxes),9.65,123.48,20.82,"Frustrating, Fine, Confusing",5,5,4
4/16/2021 14:47:42,Prototype B (Circles),6.32,11.58,8.68,"Fun, Confusing",6,4,6
4/16/2021 15:11:19,Prototype A (Boxes),7,280,8,"Fun, Exciting, Confusing",4,4,6
4/16/2021 15:12:16,Prototype B (Circles),10,80,20,"Fun, Exciting, Excellent",3,6,4
4/16/2021 15:17:59,Prototype A (Boxes),4.92,6.89,199,"Confusing, Poorly Introduced?",7,7,3
4/16/2021 15:20:22,Prototype B (Circles),6.48,6.62,202,"Boring, Frustrating, Confusing",1,1,4
4/16/2021 15:25:10,Prototype A (Boxes),9.46,89.07,20.08,"Fine, Confusing",5,6,4
4/16/2021 15:30:46,Prototype B (Circles),10.09,79.45,33.29,"Fine, Confusing, The 2nd task was confusing to me as there was no feedback to confirm that I got data in the logs. It would have been helpful to have a prompt stating that the log is ready for viewing.",5,5,7
4/16/2021 15:55:00,Prototype A (Boxes),5.26,193.18,11.92,"Frustrating, Fine, Confusing",4,5,5
4/16/2021 15:57:27,Prototype B (Circles),5.75,130.15,7.58,"Fun, Confusing",6,6,7
4/16/2021 17:37:54,Prototype B (Circles),3.25,127.94,3.53,"Boring, Fine",3,3,4
4/16/2021 17:59:04,Prototype A (Boxes),16,212,12,Fine,4,3,2
4/16/2021 18:00:59,Prototype B (Circles),8,128,8,"Fine, Confusing",1,1,1
4/16/2021 18:54:04,Prototype B (Circles),25,145,24,"Frustrating, Confusing",2,2,1
4/16/2021 19:02:31,Prototype A (Boxes),13,60,10,"Boring, Fine, Confusing",4,4,2
4/16/2021 19:04:49,Prototype B (Circles),5,600,10,"Fine, Better app layout",4,4,4
4/16/2021 19:42:09,Prototype A (Boxes),4,60,150,Frustrating,1,1,1
4/16/2021 19:55:37,Prototype B (Circles),3,130,5,"Confusing, Tiring",4,4,1
4/17/2021 1:56:32,Prototype A (Boxes),7,6,12,"Fun, Fine",6,5,6
4/17/2021 1:57:33,Prototype B (Circles),7,7,10,"Great, Inspiring",5,6,6
4/17/2021 10:58:47,Prototype B (Circles),19,247,8,"Frustrating, Fine, Confusing",2,2,5
4/17/2021 11:01:12,Prototype A (Boxes),9,127,24,Fine,5,5,5
4/17/2021 12:36:26,Prototype B (Circles),15,73,8,"Fun, Frustrating, Exciting, Fine, Great, Excellent",5,6,4
4/17/2021 12:37:56,Prototype A (Boxes),6,64,10,"Fun, Frustrating, Exciting, Fine, Great, Inspiring, Revolutionary, Excellent",7,6,5
4/17/2021 13:23:08,Prototype A (Boxes),20,147,19,"Boring, Frustrating, Fine, Confusing",4,5,2
4/17/2021 13:26:01,Prototype B (Circles),9,66,16,"Fine, Confusing",1,5,2
4/17/2021 14:16:32,Prototype A (Boxes),18,242,12,"Boring, Fine, Confusing",4,5,3
4/17/2021 14:18:43,Prototype B (Circles),3,139,9,"Boring, Fine, Confusing, Identical to A overall",3,3,4
4/17/2021 14:44:35,Prototype B (Circles),36,135,13,"Confusing, Difficult to Read",5,5,5
4/17/2021 14:46:52,Prototype A (Boxes),13,197,16,Fine,6,5,3
4/17/2021 16:47:57,Prototype B (Circles),8.73,24.55,9.81,"Fine, Confusing",3,5,4
4/17/2021 16:53:30,Prototype A (Boxes),4.3,186.84,4.81,"Fine, Great",6,6,5
4/17/2021 17:21:57,Prototype A (Boxes),5,23,11,Fine,5,5,5
4/17/2021 17:22:41,Prototype B (Circles),7,36,22,Frustrating,3,3,2
4/17/2021 17:42:39,Prototype A (Boxes),11.2,64,4,"Great, Excellent",6,6,3
4/17/2021 17:44:25,Prototype B (Circles),9,65,7,"Frustrating, Confusing",4,4,5
4/17/2021 20:23:44,Prototype A (Boxes),28,210,21,"Fun, Frustrating, Confusing, stressful",3,4,5
4/17/2021 20:33:10,Prototype B (Circles),8,135,9,"Fine, Tiring",2,2,1
4/17/2021 23:05:42,Prototype A (Boxes),9,190,38,"Fine, Confusing",5,4,2
4/17/2021 23:07:00,Prototype B (Circles),5,130,5,"Frustrating, Confusing, Tiring",1,3,1
4/18/2021 4:04:34,Prototype B (Circles),17,214,14,"Frustrating, Confusing",2,3,4
4/18/2021 4:07:12,Prototype A (Boxes),12,191,10,"Boring, Fine",7,5,4
4/18/2021 8:57:31,Prototype A (Boxes),2,83,13,Fine,5,5,3
4/18/2021 8:58:08,Prototype B (Circles),7,135,9,Fine,3,3,4
4/18/2021 8:59:12,Prototype A (Boxes),17,39,10,"Boring, Frustrating, Confusing, Tiring",1,1,1
4/18/2021 9:00:13,Prototype B (Circles),8,4,5,"Boring, Frustrating, Confusing",1,1,
4/18/2021 10:25:39,Prototype A (Boxes),5.48,194.5,8.53,Fine,4,6,2
4/18/2021 10:28:37,Prototype B (Circles),4.6,130,4.71,"Fun, Excellent",6,6,6
4/18/2021 10:34:01,Prototype B (Circles),7.5,133.01,9.35,"Fun, Fine, Inspiring",5,5,6
4/18/2021 10:36:12,Prototype A (Boxes),3.95,126.8,8.49,"Fun, Fine",5,5,5
4/18/2021 10:36:40,Prototype A (Boxes),5.7,4.5,90,Fine,5,4,5
4/18/2021 12:11:00,Prototype A (Boxes),8,72,5,"Boring, Fine, Inspiring, Confusing, A bit confusing for task 2. I could not find data that showed Plant D has grown at least 10 cm.",5,6,3
4/18/2021 12:11:45,Prototype B (Circles),8,75,7,"Boring, Fine, Confusing, A bit confusing for task 2. I could not find data that showed Plant D has grown at least 10 cm.",5,5,3
4/18/2021 12:53:44,Prototype B (Circles),33,240,24,Boring,2,2,1
4/18/2021 13:21:08,Prototype A (Boxes),30,600,20,"Exciting, Fine, Confusing",5,5,3
4/18/2021 13:46:01,Prototype A (Boxes),4,18,11,Boring,4,4,2
4/18/2021 13:48:02,Prototype B (Circles),6,15,10,"Fun, Confusing",2,2,5
4/18/2021 14:10:58,Prototype B (Circles),16,17,21,"Boring, Frustrating, Exciting",5,5,5
4/18/2021 14:21:46,Prototype A (Boxes),10,180,120,"Frustrating, Fine",4,5,3
4/18/2021 14:24:39,Prototype B (Circles),60,180,60,"Frustrating, Confusing",4,4,3
4/18/2021 14:53:35,Prototype B (Circles),11,206,6,"Boring, Frustrating, Confusing",2,3,5
4/18/2021 14:55:22,Prototype A (Boxes),14,127,10,"Boring, Fine",5,5,3
4/18/2021 15:44:05,Prototype A (Boxes),5.54,9,9.2,"Fun, Exciting, Fine",5,5,6
4/18/2021 15:48:55,Prototype B (Circles),2,15,15,"It's hard to read for B, overwall is great",7,7,7
4/18/2021 15:50:21,Prototype A (Boxes),3,5,5,Fine,7,7,7
4/18/2021 16:09:51,Prototype A (Boxes),3.5,125,7,"Boring, Frustrating, Fine, Confusing, Tiring, Stupid",1,1,1
